Arcano;Planeta;Era de Aquário;Era de Peixes;Dia | Mês;Regente;Cor;Tattva;Dhyani Budha;Chacra;Cabala;Corpo;Glândulas;Nota Musical;Elemento;Metal;Pedra;Incenso;Arcanjo;Letra Hebraica;Valor;Astrologia;Desafio;Fluência;Perfume
2;Lua;A Expansão;A Sacerdotisa;Segundafeira;;Violeta;Apas;Anubel;Esplênico-Svadhisthana;9  Yesod;Vital;Baço;Si;Água;Prata;Ametista;Jasmim;Gabriel;Beth;2;Emocional, Desapego, Relacionamento, Lar (Família);Ilusão;Segredo | Revelação;Jasmim
11;Marte;A Coragem;A Força;Terçafeira;;Vermelho;Tejas;Akashbel;Umbilical-Manipura;5  Geburah;Astral;Rins;Dó;Fogo;Ferro;Rubi;Estoraque;Samael;Caph;20;Força, Guerriar, Transformações, Conquista, Corte;Irracionalidade;Equilíbrio | Ação | Produção;Verbena
20;Saturno;O Julgamento;O Julgamento;Sábado;;Verde;Vayu;Pritivibel;Raiz-Muladhara;3  Binah;Físico;Gônadas;Fá;Ar;Chumbo;Esmeralda;Alecrim;Kassiel;Resh;200;Carreira, Profissão, Grupos;Irredutível;Ressureição | Camilnho | Libertação;Alecrim
22;Sol;A Libertação;O Mundo;Domingo;;Laranja;Prithivi;Adibel;Cardiáco-Anahata;6  Tiferet;Mental;Timo;Ré;Terra;Ouro;Carbúnculo;Sândalo;Mikael;Thav;400;Brilho, Criatividade, Reconhecimento, Fortalecimento do Eu;Perdido;Vitória | União | Posicionamento;Sandalo
3;Vênus;A Realização;A Imperatriz;Sextafeira;;Índigo;Akasha;Apasbel;Laringeo-Vishudda;7  Netszach;M. Abstrato;Tireóide;Lá;Éter;Cobre;Safira;Mirra | Alfazema;Anael;Gimel;3;Afetos, Parceria, Ganhos/Perdas, Beleza, Atração;Materialismo;Plasmação | Renovação | Manisfestação | Escolha;Hortencia
4;Júpiter;O Reflexo de Deus;O Imperador;Quintafeira;;Azul | Púrpura;Adi;Tejasbel;Coronal-Sahasrara;4  Chesed;Intuição;Epífise;Sol;Atômico;Estanho;Rubina;Açafrão;Sakiel;Daleth;4;Lei, Justiça, Mística, Espiritualidade, Idealismo;Estagnação;Estrutura | Estabilidade | Comando;Maça
17;Mercúrio;A Imortalidade;A Estrela;Quartafeira;;Amarelo;Anupádaka;Vayubel;Frontal-Ajna;8  Hod;Iluminação;Hipófise;Mí;Subatômico;Mercúrio;Topázio;Mastique;Rafael;Phe;80;Comunicação,  Aprendizado, Mente, Comércio, Negócios, Saúde;Sem Fé;Esperança | Criação | Propagação;Gardenia
12;Libra;O Sacrifício;O Pendurado;Setembro;3;;;;;;;Rins | Cabelos;;Ar Cardinal;;;;;Lamed;30;;Aprosionado;Comprometimento | Coragem;Narciso
14;Escorpião;O Equilíbrio;A Temperança;Outubro;11;;;;;;;Genitais;;Água Fixo;;;;;Noom;50;;Desequilíbrio;Serenidade | Paz | Sabedoria Espiritual;Crisantemo
15;Sagitário;A Grande Luz;O Diabo;Novembro;4;;;;;;;Músculos | Coxas | Fígado;;Fogo Mutável;;;;;Samech;60;;Sedução;Iluminação;Hortencia
5;Áries;A Inteligência;O Papa;Março;11;;;;;;;Cabeça;;Fogo Cardinal;;;;;He;5;;Fanatismo;Espiritualidade | Fé | Proteção;
7;Gemeos;O Vencedor;O Carro;Maio;17;;;;;;;Braços | S. Respiratório;;Ar Mutável;;;;;Zain;7;;Comodismo;Vitória | Direção | Evolução;Madresilva
8;Câncer;A Lei;A Justiça;Junho;2;;;;;;;Estômago | Seios;;Água Cardinal;;;;;Heth;8;;Mal caráter;Justo | Retidão | Imparcialidade;Lilas
9;Leão;A Superação;O Ermitão;Julho;22;;;;;;;Coração;;Fogo Fixo;;;;;Teht;9;;Solidão;Sabedoria | Introspecção | Perfeição;Amapola
18;Aquário;O Caos;A Lua;Janeiro;20;;;;;;;Tornozelo | S. Circulatório;;Ar Fixo;;;;;Tzad;90;;Medo;Resiliência | Vitória | Caminhar;Belorita
19;Peixes;A Realeza;O Sol;Fevereiro;4;;;;;;;Pés;;Água Mutável;;;;;Koof;100;;Infelicidade;Vida | Luz | Brilho;Violeta
16;Capricórnio;A Rebeldia Celeste;A Casa de Deus;Dezembro;20;;;;;;;Unhas | Dentes | Joelhos;;Terra Cardinal;;;;;Gnay;70;;Preso ao passado;Reinício | Reconstrução;Flor de Leite
10;Virgem;A Necessidade;A Roda da Fortuna;Agosto;17;;;;;;;Mãos | Peles | Intestinos;;Terra Mutával;;;;;Yod;10;;Negação;Movimento | Destino | Potencialidade;Gloria da Manhã
6;Touro;A Beleza;O Enamorado;Abril;3;;;;;;;Pescoço;;Terra Fixo;;;;;Vav;6;;Indecisão;Decisão | Amor | Proteção;Flor de Espinho
1;Urano;O Unilateral;O Mago;;;;;;;;;;;;;;;;Aleph;1;;Egoísmo;Início | Astúcia | Primórdio;
13;Plutão;A Grande Mãe;A Morte;;;;;;;;;;;;;;;;Mem;40;;Imutável;Transformação | Renascimento | Novo;
21;Netuno;A Vitória;O Louco;;;;;;;;;;;;;;;;Shim;300;;Fantasia;Despertar | Retorno | Aprimoramento;
